Date;ISIN;Indexvalue
19.10.2001;CH0023524637;22.8308
22.10.2001;CH0023524637;22.8375
23.10.2001;CH0023524637;22.8453
24.10.2001;CH0023524637;22.841
25.10.2001;CH0023524637;22.4888
26.10.2001;CH0023524637;22.4747
29.10.2001;CH0023524637;22.4912
30.10.2001;CH0023524637;22.4807
31.10.2001;CH0023524637;22.4776
01.11.2001;CH0023524637;21.9273
02.11.2001;CH0023524637;22.3255
05.11.2001;CH0023524637;22.1527
06.11.2001;CH0023524637;22.1487
07.11.2001;CH0023524637;22.133
08.11.2001;CH0023524637;22.0928
09.11.2001;CH0023524637;22.1234
12.11.2001;CH0023524637;22.5689
13.11.2001;CH0023524637;22.1815
14.11.2001;CH0023524637;22.2473
15.11.2001;CH0023524637;22.159
